from,to,relationship
JL,SETUP,1
JL,TATEPA,1
JL,EUAI,1
JL,COAL,1
JL,USCM,1
MT,RCC,1
MT,VLC,1
MT,VOZU,1
MT,LCVB,1
MT,SAP,1
MT,VCM,1
ET,TATEPA,1
ET,ALAP,1
ET,EUTW,1
ET,LBA,1
HK,VFBU,1
HK,OLYST,1
HK,BUST,1
IVV,ASKI,1
IVV,RCC,1
IVV,IBF,1
IVV,CALE,1
IVV,RRV,1
IVV,CSMT,1
JN,GBL,1
JN,BKS,1
JN,KSP,1
JN,SMS,1
SL,KAF,1
SL,BEY,1
SL,IVC,1
SL,PSU,1
MSP,BVMB,1
MSP,DSC,1
MSP,BSBC,1
MSP,STM,1
MSP,DIT,1
MSP,GHO,1
MSP,CVB,1
HJ,VFBS,1
HJ,VCS,1
HD,MTVST,1
HD,BUST,1
KR,UNIA,1
KR,BEAN,1
KR,LUBA,1
LB,FVT,1
LB,BUST,1
LB,VCOB,1
RK,OKN,1
RK,LPV,1
RK,LPK,1
RK,HALE,1
RK,KI,1
RK,SOPA,1
LG,MTVJ,1
LG,BUST,1
JL,NED,2
MT,BUL,2
ET,NED,2
HK,GER,2
IVV,BEL,2
JN,POL,2
SL,USA,2
MSP,ESP,2
HJ,NED,2
HD,GER,2
KR,USA,2
LB,GER,2
RK,FIN,2
LG,GER,2
